LANGUAGE,English
dragger.sqf0, "Drop"
BC_addActions.sqf13, "Drag"

STR_milC1_l1,"Papa Bear to Wolf, be aware that more CSAT air units have arrived the AO and there is probably more coming. Out"
STR_milC1_l2,"Papa Bear to Wolf, we have new intel that CSAT have managed to bring more armor across the sea. Watch out there. Out"
STR_milC1_l3,"Papa Bear to Wolf, there is local reports of CSAT creating new heavily guarded headquarters camp somewhere on the AO and they might have resources to build another one in near future. Out"
STR_milC1_l4,"Papa Bear to Wolf, locals are reporting sights of the second bigger camp. Location still unknown. Out"

STR_milC2_l1,"Owl to Wolf, I am waiting your sitrep at the meeting point. Head to me when possible. Over"
STR_milC2_l2,"Roger that, Owl. We are on the way there. Out"

STR_milEND1_l1,"Papa Bear to Wolf, excellent work there - we have overally beaten the CSAT. They no longer have camps left on %1. Head to extraction point once wanting to leave the AO. If you have still some unfinished tasks, feel free to let other teams commit those. Over"
STR_milEND1_l2,"Understood, Papa Bear. Will use the 0-0-9 once ready to head at home. Out"
STR_milEND1_l3,"Papa Bear, I am ready for extraction. Over"
STR_milEND1_l3b,"Papa Bear, I am ready for extraction once reaching the point. Out"
STR_milEND1_l4,"Understood, Wolf. Pick up is on the way. Out"
STR_milEND1_l4b,"Understood, Wolf. Call us when there. Out"
Section [New Tasks] 
STR_milT2_l1,"Papa Bear to Wolf, one of our gunship teams have been shot down. Search the crash site once you can. We need to get our pilots away from there asap. Over"
STR_milT2_l2,"Wolf to Papa Bear, we are at the crashsite. No sight of pilots neither dead or alive, but we will look around. Over"
STR_milT2_l3,"Understood, Wolf. Out"
STR_milT2_l4,"Wolf to Papa Bear, the pilots were taken from the crash site by CSAT. Their current location remains unknown. Over"
STR_milT2_l5,"Understoof, Wolf. Halt searching for them for now, we need to terminate that chopper before CSAT returns to carry it away." 
STR_milT2_l6,"Step some hundret meters away and guard the site until our missile takes it out in around 7 minutes. Over"
STR_milT2_l7,"Understood, Papa Bear. We will hold the site. Out"
STR_milT2_l8,"Wolf to Papa Bear, you got the chopper out. Over"
STR_milT2_l9,"Wolf to Papa Bear, bad news. CSAT got hold of the chopper and moved it away with truck. Over"
STR_milT2_l10,"Understood, Wolf. Out"
STR_milT2_l11,"Understood, Wolf. You did you best. Out"
STR_milT2_l12,"Wolf to Papa Bear, we got hold of one CSAT soldier who know of the missing pilots. We are moving him to our cell. Over"
STR_milT2_l13,"Wolf to Papa Bear, we got hold of one CSAT soldier who know of the missing pilots. Come to pick him up, we dont have POW cell built. Over"
STR_milT2_l13a,"Roger that, Wolf. Good work there. Out"
STR_milT2_l14,"Wolf, we took control of the POW since you failed to do so. Out"
STR_milT2_l15,"Papa Bear to Wolf, we have new intel of possible location of the pilots in nearby wooden area. Head there immediately. Over"
STR_milT2_l16,"Understood, Papa Bear. Moving there now. Out"
STR_milT2_l17,"Wolf to Papa Bear. We found the pilots, both alive. Come to pick them up. Over"
STR_milT2_l17a,"Wolf to Papa Bear. We found the pilots, one KIA other alive. Come to pick him up. Over"
STR_milT2_l17b,"Wolf to Papa Bear. Bad news - We found the pilots, but both KIA. Over"
STR_milT2_l18,"Great work, Wolf. Sending chopper to pick them home. Out"
STR_milT2_l18a,"You did your best, Wolf. Sending chopper to pick him back to home. Out"
STR_milT2_l18b,"You did your best, Wolf. Move to your next objectives. Out"


STR_milT3_l1,"Papa Bear to Wolf, hostile convoy is spotted moving near %1 most likely carrying one of the CSAT commanders. We want him captured and alive if possible. Stop the convoy. Over"
STR_milT3_l2,"Understood, Papa Bear. We are heading there now. Out"
STR_milT3_l3,"Wolf, looks like the convoy is burning hot. Head to the wrecks and search for survivors to capture. Over"
STR_milT3_l4,"Roger that, we keep eye on hiding commanders. Over"
STR_milT3_l5,"If you dont anyone there, also check the nearby village but start with the wrecksite. Out"
STR_milT3_l6,"Papa Bear, we found and are holding CSAT commander. Come to take him away. Over"
STR_milT3_l7,"Excellent work, Wolf. Chopper is coming to pick him up. Out"
STR_milT3_l8,"Wolf, the POW is in our hands now. Continue to your other tasks. Out"
STR_milT3_l5b,"Wolf, we spotted the fleeing commander from the air, go after him. Sending you the location. Out"
Section [Mil Tasks]
[GUARD RoadBlock]
STR_milT1_l1,"Bad news Wolf, you may get some company soon. Some CSAT movement have been reported nearby. Over"
STR_milT1_l2,"Understood. We are ready, let them come. Out"
STR_milT1_l3,"Good work there, Wolf. Looks like that was all for now. Out"
 [Crate Carrier]
STR_milT4_l1,"Green Cat to Wolf, could you help us in one more task? Gear shipment have arrived across the sea and waiting at pier. We would need those transported to our camp. Could you help in that? Over"
STR_milT4_l2,"Sure thing, Green Cat. We will head to the pier as soon as possible and bring the crates for you. Out"
STR_milT4_l3,"Green Cat, the crates are delivered. We are heading away to continue our operation. Over"
STR_milT4_l4,"Thanks, Wolf. As return you can command our armed vehicle team anytime. Out"
STR_milT4_l5,"What is this, Wolf? The crates are missing gear. Did you took them? I dont like this. Out"
 [Front Line Task]
STR_milT5_l1,"Green Cat to Wolf, we have spotted CSAT moving mortars in position near our settlements. We may be took weak to take care of it by ourselves. Could you give us an hand? Over"
STR_milT5_l2,"Understood, Green Cat. We are ready to assist. Over"
STR_milT5_l3,"Great, I am sending the coordinates and some of our guys in the AO as well. Out"
STR_milT5_l4,"Wolf to Green Cat, CSAT mortars are disabled. Over"
STR_milT5_l5,"Great news, Wolf. We owe you much. Out"
[Green Task]
STR_milT6_l1,"Green Beaver here, any friendlies nearby? We broke our vehicle and are low armed. Over"
STR_milT6_l2,"Wolf to Green Beaver. Sit still, we are heading to your way. Over"
STR_milT6_l3,"Thank you, Wolf. Sending our coordinates. See you soon. Out"
STR_milT6_l4,"Help, I am under sniper fire here! Anyone there? Over"
STR_milT6_l5,"Wolf here, we hear you. What is your position? We will come. Over"
STR_milT6_l6,"Sending my coordinates, also location were the sniper might be. Out"
[US Task]
STR_milT7_l1,"Papa Bear to Wolf, CSAT is jamming our connections from somewhere. I need you to find the site and destroy it. Over"
STR_milT7_l2,"Understood, Papa Bear. Where should be start looking? Over"
STR_milT7_l3,""
[Res Task]
STR_milT8_l1,"Green Cat to Wolf, we have surrounded one of the villages with high ranked CSAT officer presence. We would need assistance to take out an CSAT armor, before we could storm in. Over"
STR_milT8_l2,"Understood, Green Cat. We are heading to your way. Out"
STR_milT8_l3,"Wolf to Green Cat, CSAT armor is gone. I repeat CSAT armor is history. Over"
STR_milT8_l4,"Understood, Wolf. We are storming into the village now. Join the party. Out"
STR_milT8_l5,"Green Cat to Wolf, we have spotted CSAT units closing the village. We should protect the villagers. If possible build a guardpost with some defenses. Over"
STR_milT8_l6,"Understood, we will work on it. Out"
[US Task]
STR_milT9_l1,"Papa Bear to Wolf, we have spotted a fleeing CSAT commander near your location heading to wooden area. Get after him. We need him captured or dead. Over"
STR_milT9_l2,"Understood Papa Bear, we are heading after him. Out"
STR_milT9_l3,"Papa Bear, we got him alive. Come to pick him away. Sending our coordinates. Over"
STR_milT9_l4,"Nice work, Wolf. Chopper is coming there shortly. Make sure the officer gets in safely. Out"
STR_milT9_l5,"Bad news, Papa Bear. We found the officer but he were killed during firefight. Over"
STR_milT9_l6,"Thats bad, Wolf. But at least he is out of the game. Proceed with your other tasks. Out"

STR_milT10_l1,"Papa Bear to Wolf, I have new job for you. We have spotted signals from possible CSAT radar facility that is best to take down. Sending the coordinates. Find it. Over"
STR_milT10_l2,"Understood, Papa Bear. Heading there now. Out"
STR_milT10_l3,"Wolf to Papa Bear, we found the radar. It will require much explonsives to come down. Over"
STR_milT10_l4,"No worries, Wolf. Send us the exact location and we will put a missile on the way. Over"
STR_milT10_l5,"Sent, Papa Bear. We are stepping away from it now. Out"

STR_milT11_l1,"Papa Bear to Wolf. We have an optional task for you if you have free hands. There is wooden area that needs scouting. Over"
STR_milT11_l2,"Roger that, Papa Bear. We might check that out. Out"
STR_milT11_l3,"Papa Bear, we have scouted the location to be clear from CSAT units. Over"
STR_milT11_l4,"Good work, continue to your other objectives. Out"
Section [Tasks]
STR_Sp2s1r1,"Wolf, could you give us a hand? Our supply truck broke and contains some valuable content. Could you check it with an engineer? Sending coordinates. Over "
STR_Sp2s1r2,"Roger that. I will see if we could help you with that. Out"
STR_Sp2s1r3,"Wolf here. We got the truck running again. Bringing this to closest camp. Over"
STR_Sp2s1r4,"Thank you for helping us, Wolf. Out"

STR_Sp2s1r5,"Wolf, we have spotted a possible camoflage-net with some vehicle inside, possible tank and hostiles. Could you head there and take it out? Sending coordinates. Over"
STR_Sp2s1r6,"Understood, we will check it out and report back. Out"
STR_Sp2s1r7,"Wolf here, we found and disabled the enemy tank. Over"
STR_Sp2s1r8,"Superb work, Wolf. Out"

STR_Sp2s1r9,"Wolf, there is an enemy AA-vehicle parked possible hostile force, numbers are unknown at this time. Could you head there and take it out? Sending coordinates. Over"
STR_Sp2s1r10,"Understood, we will head to the AO and disable it if possible. Out"
STR_Sp2s1r11,"Wolf here, we have found and disabled enemy AA-vehicle. Over"
STR_Sp2s1r12,"Excellent work, Wolf. Out"

 Section [Support]
STR_Sp1s1r1,"Wolf to Base, we need immediate air support. How Copy?"
STR_Sp1s1r2,"Understood, Wolf. I am sending air support your way ETA few minutes. Out"
STR_Sp1s1r3,"Eagle to Wolf. Hold your hats, we are entering the AO. Over"
STR_Sp1s1r4,"Eagle to Wolf. We need to pull back to base. Good luck out there. Over"
STR_Sp1s1r5,"Wolf to Base, we are in trouble. Any land support available? Over"
STR_Sp1s1r6,"Wolf, we are entering the AO. Over"
STR_Sp1s1r7,"Wolf to Base, we need some equipment. How Copy?"
STR_Sp1s1r8,"Understood, Wolf. Equipment inbound, ETA few minutes. Out"
	Section [Help Civilians]
STR_Sp8s4v1,"Civilian: Thank you! you saved my life. I will remember this"
STR_Sp8s4v2,"Civilian: Thank you for saving my life, they already killed many of us"
STR_Sp8s4v3,"Civilian: Thank you! I was ready to die."
STR_Sp8s4v4,"Civilian: Thank you! Those bastards killed half of the village!"

Section [Counter Attack] 
STR_Sp8t1r1,"Bad news Wolf, looks like CSAT is preparing counterattack to take that seized camp back. Prepare to hold it if you are able. Over"
STR_Sp8t1r1a,"Wolf, more CSAT forces is moving toward the camp. Looks like counterattack. Out"
STR_Sp8t1r1b,"Wolf, hold your position. More CSAT units is heading your way. Out"
STR_Sp8t1r1c,"Wolf, we have intel of CSAT preparing counterattack on the camp. Hold it if you can. Out"
STR_Sp8t1r2,"I heard good news that camp stayed for us. Great work, if you had part in it, Wolf. Out"
STR_Sp8t1r2a,"Great work there with holding the camp, Wolf. CSAT should be weaker for some time. Out"
STR_Sp8t1r2b,"Excellent! CSAT forces are withdrawing from the camp, they should be less of a threat for a while. Out"
STR_Sp8t1r3,"You did your best there wolf, we will take that camp back soon. Dont worry. Out"
STR_Sp8t1r3a,"Damn it, CSAT damaged our lines. But we will come back later. Our forces are little disorganized now in the area. Out"
STR_Sp8t1r3b,"Seems like CSAT got the camp. We will prepare to launch a counter attack soon. Out"
STR_Sp8t1r4,"CSAT is moving towards the camp now! Good luck out there. Out"
STR_Sp8t1r4a,"We are under attack in the camp! Any units nearby? Requesting support. Out"
STR_Sp8t1r4b,"The enemy is assaulting our camp now. Doesnt look good. Requesting support, Out"
	Section [Random Defend] 
STR_Sp8t2r1,"Wolf, we could use your help. Our units are under attack, coordinates to follow. If you hear this and are close enough, please help them. Over"
STR_Sp8t2r1a,"Wolf, CSAT are moving towards one of our camps with a few vehicles and infantry. Join the party if you are close enough. Out"
STR_Sp8t2r1b,"Wolf, information is coming in that CSAT forces are preparing to overrun one of our camps. Requesting assistance if you can. Out"
STR_Sp8t2r1c,"Wolf, Intel suggests CSAT forces are closing in on one of our camps. Support our units if you can. Out"
STR_Sp8t2r2,"Very nice job, Wolf. I heard things went well there. Enemy should be less active for a while. Out"
STR_Sp8t2r2a,"Good work there with holding the camp, Wolf. CSAT should have a small disadvantage before they get reorganized again. Out"
STR_Sp8t2r2b,"Excellent! CSAT could not capture our camp. Thank you wolf if you had any part in this small victory. Out."
STR_Sp8t2r3,"Hostile attack managed to cause some damage to our defenses. Expect more uncontrolled CSAT movement for some time. Out"
STR_Sp8t2r3a,"Damn it, CSAT forces damaged our defenses. It's gonna take time to fix it. Due to the attack our forces are scattered. Out"
STR_Sp8t2r3b,"We have lost contact with one of our camps. Seems like CSAT got through our line. We should be able to deal with that soon, but anyways, not a good thing. Out"
STR_Sp8t2r4,"CSAT is moving towards our camp! I hope our defenses are enough to hold them. Out"
STR_Sp8t2r4a,"Our camp is under attack now. Any units nearby, help our men. Out"
STR_Sp8t2r4b,"Enemy is assaulting our camp now. Doesnt look good at all. Out"
	Section [Random Attack] 
